County Name,Year,Mean Weighted Nonrenewal,Expected Annual Loss - Buildings,Expected Annual Loss - Total
Alameda County,2018,0.003808677541358136,6611995.23353758,6731673.5875873
Alameda County,2019,0.007209266130561625,6611995.23353758,6731673.5875873
Alameda County,2020,0.007656731287309401,6611995.23353758,6731673.5875873
Alameda County,2021,0.00683129445822028,6611995.23353758,6731673.5875873
Alameda County,2022,0.008839040408665639,6611995.23353758,6731673.5875873
Alpine County,2018,0.0238307067456652,432152.779460634,434727.079151715
Alpine County,2019,0.13660600566473924,432152.779460634,434727.079151715
Alpine County,2020,0.033941619818058676,432152.779460634,434727.079151715
Alpine County,2021,0.020886761990083123,432152.779460634,434727.079151715
Alpine County,2022,0.038180357159514886,432152.779460634,434727.079151715
Amador County,2018,0.015021120293291954,7527083.06474633,7534156.25002119
Amador County,2019,0.08587807933730558,7527083.06474633,7534156.25002119
Amador County,2020,0.05396276330146914,7527083.06474633,7534156.25002119
Amador County,2021,0.025792176204215134,7527083.06474633,7534156.25002119
Amador County,2022,0.04707675125067961,7527083.06474633,7534156.25002119
Butte County,2018,0.005897460216777839,13286252.8283708,13995195.6011457
Butte County,2019,0.015332592323892683,13286252.8283708,13995195.6011457
Butte County,2020,0.0366350088015813,13286252.8283708,13995195.6011457
Butte County,2021,0.012516263418470952,13286252.8283708,13995195.6011457
Butte County,2022,0.020933156381316133,13286252.8283708,13995195.6011457
Calaveras County,2018,0.012946527405668167,22110842.4668072,22131326.4207187
Calaveras County,2019,0.05925455207544401,22110842.4668072,22131326.4207187
Calaveras County,2020,0.06740916190626553,22110842.4668072,22131326.4207187
Calaveras County,2021,0.022825490396570048,22110842.4668072,22131326.4207187
Calaveras County,2022,0.0433237805990296,22110842.4668072,22131326.4207187
Colusa County,2018,0.005263044354108004,344549.369136609,389689.449894137
Colusa County,2019,0.007454414690225909,344549.369136609,389689.449894137
Colusa County,2020,0.01111613828472347,344549.369136609,389689.449894137
Colusa County,2021,0.010180257311728275,344549.369136609,389689.449894137
Colusa County,2022,0.01019828126695695,344549.369136609,389689.449894137
Contra Costa County,2018,0.003801146369276621,5667293.43025135,5828403.90522496
Contra Costa County,2019,0.006926723665308804,5667293.43025135,5828403.90522496
Contra Costa County,2020,0.009692435135011022,5667293.43025135,5828403.90522496
Contra Costa County,2021,0.008465346049306714,5667293.43025135,5828403.90522496
Contra Costa County,2022,0.0074565846259925595,5667293.43025135,5828403.90522496
Del Norte County,2018,0.006588826418313746,617665.856159496,621699.971326221
Del Norte County,2019,0.006910050434617729,617665.856159496,621699.971326221
Del Norte County,2020,0.008762582414714417,617665.856159496,621699.971326221
Del Norte County,2021,0.013301640737316066,617665.856159496,621699.971326221
Del Norte County,2022,0.009204386871549534,617665.856159496,621699.971326221
El Dorado County,2018,0.013656936790100454,23763506.4036116,23769350.2495688
El Dorado County,2019,0.06236117799649759,23763506.4036116,23769350.2495688
El Dorado County,2020,0.06417537223801159,23763506.4036116,23769350.2495688
El Dorado County,2021,0.017430801226170915,23763506.4036116,23769350.2495688
El Dorado County,2022,0.03183094398418972,23763506.4036116,23769350.2495688
Fresno County,2018,0.004666626059602785,11320001.9513018,11338096.3102066
Fresno County,2019,0.008697503853293442,11320001.9513018,11338096.3102066
Fresno County,2020,0.011015436623289512,11320001.9513018,11338096.3102066
Fresno County,2021,0.007710806603081563,11320001.9513018,11338096.3102066
Fresno County,2022,0.009429009509689059,11320001.9513018,11338096.3102066
Glenn County,2018,0.005054854966356703,1411097.41409669,1478604.58622335
Glenn County,2019,0.00714157077473232,1411097.41409669,1478604.58622335
Glenn County,2020,0.008281109366003776,1411097.41409669,1478604.58622335
Glenn County,2021,0.009062636828215587,1411097.41409669,1478604.58622335
Glenn County,2022,0.009048467787392978,1411097.41409669,1478604.58622335
Humboldt County,2018,0.003462944869678473,3223413.0373242,3301582.03064302
Humboldt County,2019,0.009272776210629266,3223413.0373242,3301582.03064302
Humboldt County,2020,0.007504914278939882,3223413.0373242,3301582.03064302
Humboldt County,2021,0.005792603147332454,3223413.0373242,3301582.03064302
Humboldt County,2022,0.010558501271517154,3223413.0373242,3301582.03064302
Imperial County,2018,0.005441284766935113,48677.2388477096,48762.9720944258
